ID,Question,Answer
13,"Según el análisis de años de vida potencialmente perdidos (YPLL) del Plan de Abordaje Integral, ¿las mujeres pierden en promedio más años de vida que los hombres debido a cáncer de estómago, colon y recto?",Sí.
14,"Según el análisis de proyección poblacional del Plan de Abordaje Integral, ¿se proyecta que la población de Costa Rica aumente de 5.3 a 5.7 millones entre 2025 y 2034?",Sí.
15,"Según el Cuadro No. 17 del Plan de Abordaje Integral, ¿el cantón de San José ocupa el primer lugar en incidencia de cáncer de estómago y el segundo lugar en incidencia de cáncer colorrectal?",Sí.
16,"De acuerdo con el Cuadro No. 19 del Plan de Abordaje Integral, ¿el cantón de Tilarán presenta la incidencia más alta para tamizaje de cáncer colorrectal?",Sí.
17,"Según el inventario de recursos del Plan de Abordaje Integral, ¿la CCSS cuenta con 19 salas de fluoroscopia disponibles a nivel nacional?",Sí.
18,"Según el inventario de recursos del Plan de Abordaje Integral, ¿el Hospital Maximiliano Peralta Jiménez en Cartago cuenta con dos salas de fluoroscopia?",Sí.
19,"Según el inventario de recursos de endoscopia del Plan de Abordaje Integral, ¿la prueba cuantitativa de sangre oculta en heces está disponible en todos los laboratorios clínicos de la red?",No.
20,"¿el Hospital México cuenta con 19 endoscopistas capacitados, siendo el centro de salud con mayor cantidad de este recurso?",Sí.
21,¿el porcentaje de invitación para los programas de tamizaje de cáncer gástrico y colorrectal es del 40% en ambos casos?,Sí.
22,¿el número de salas de fluoroscopia necesarias para el año 2025 representa más del 60% de la disponibilidad actual de la CCSS?,Sí.
23,¿la atención de lesiones premalignas de cáncer de colon tiene un costo estimado del 9.0% respecto al de un cáncer en etapa avanzada?,No.
24,¿la implementación del SILC se limita únicamente a la red de laboratorios para la prueba de FIT y no abarca otras pruebas realizadas en los laboratorios clínicos?,No.
25,¿el CNDTCG eliminó el requisito de solicitudes de laboratorio para la prueba FIT y la Serie Gastroduodenal (SGD) con el fin de aumentar la captación y retención de participantes?,Sí.
26,¿el diseño e implementación de indicadores de gestión y desempeño es una actividad contemplada en la Etapa II del plan?,Sí.
27,¿la falta de normativa específica para los programas de tamizaje representa un riesgo con una valoración de 20 puntos?,Sí.
28,¿se sugiere la integración de soluciones de telemedicina para facilitar el acceso a consultas especializadas en regiones alejadas o con dificultades de acceso?,Sí.
29,"¿se sugiere realizar convenios con entidades internacionales para el desarrollo de investigación en detección temprana, tratamiento y seguimiento del cáncer gástrico y colorrectal?",Sí.
30,¿El Centro Nacional de Detección Temprana de Cáncer Gastrointestinal fue creado oficialmente mediante el Acuerdo de Junta Directiva en la Sesión Ordinaria Nº 9414 del 5 de marzo de 2024?,Sí.
31,¿El CNDTCG cuenta con certificación internacional otorgada por la Sociedad Española de Endoscopia Digestiva (SEED) para la formación en sedación profunda?,Sí.
32,¿La población objetivo de los programas de tamizaje de cáncer gástrico y colorrectal son personas asintomáticas entre los 50 y 74 años?,Sí.
33,¿La metodología utilizada para la validación técnica del manual incluyó un proceso DELPHI modificado?,Sí.
34,¿El CNDTCG utiliza exclusivamente sus propias instalaciones para el Programa de Cirugía Mayor?,No.
35,¿El Programa de Cirugía Percutánea se realiza exclusivamente mediante cirugía abierta convencional?,No.
36,¿Los programas de tamizaje de cáncer gástrico y colorrectal comparten exactamente los mismos procesos de captación?,No.
37,¿La CCSS cuenta con 3 hospitales nacionales generales según el Manual de Gestión?,Sí.
38,¿El Decreto Ejecutivo de la norma colorrectal otorga un plazo de 6 meses para que los servicios de salud cuenten con manuales de procedimientos?,Sí.
39,¿La prueba inicial para el tamizaje de cáncer gástrico es la Prueba Inmunoquímica Fecal (FIT)?,No.
40,¿El CNDTCG cuenta con 45 personas en su equipo humano al momento de la elaboración del manual?,Sí.
41,¿El CNDTCG tiene un área de Planificación y Mejora Continua?,Sí.
42,¿El CNDTCG utiliza el Expediente Digital Único en Salud (EDUS) para el registro clínico de los pacientes?,Sí.
43,¿El Programa de Resección Submucosa Endoscópica (ESD) es una técnica que requiere cirugía abierta?,No.
44,¿La Unidad de Investigación en Salud (UIS) del CNDTCG tiene entre sus funciones la divulgación de resultados a través de revistas científicas?,Sí.
45,¿El CNDTCG atiende exclusivamente pacientes de la provincia de Cartago?,No.
46,¿El Programa de Ultrasonido Endoscópico permite realizar biopsias por aspiración con aguja fina?,Sí.
47,¿La Dirección General del CNDTCG es responsable de verificar el cumplimiento del Manual de Gestión?,Sí.
48,¿El CNDTCG utiliza el Sistema de Identificación Agendas y Citas (SIAC) para la programación de procedimientos?,Sí.
49,¿El CNDTCG utiliza el Sistema ARCA para el registro de procedimientos?,No.
50,¿El CNDTCG cuenta con equipos de tomografía computarizada (TAC) para estudios de estadificación oncológica?,Sí.
51,¿El análisis FODA del CNDTCG identifica como fortaleza la capacidad instalada en sedación profunda con aval internacional?,Sí.
52,¿La periodicidad de los indicadores del Programa de Tamizaje de Cáncer Gástrico es exclusivamente anual?,No.
53,¿El CNDTCG tiene capacidad para realizar procedimientos de cirugía percutánea guiada por imagen?,Sí.
54,¿El CNDTCG está adscrito jerárquicamente a la Dirección de Centros Especializados (DICE) de la Gerencia Médica?,Sí.
55,¿El proceso de tamizaje para cáncer gástrico comienza con la invitación a personas asintomáticas de 50 a 74 años?,Sí
56,¿La Serie Gastroduodenal (SGD) es un estudio de fluoroscopia donde el paciente ingiere un medio de contraste?,Sí
57,¿El radiólogo analiza las imágenes de la SGD para identificar anomalías?,Sí
58,"¿Durante la gastroscopia, el endoscopista puede tomar biopsias si es necesario?",Sí
59,¿El técnico de endoscopia procesa las muestras de biopsia y las envía al patólogo?,Sí
60,¿El proceso de tamizaje para cáncer colorrectal utiliza la prueba FIT para detectar sangre oculta en heces?,Sí
61,¿El microbiólogo y el personal de apoyo participan en la realización y análisis de la prueba FIT?,Sí
62,"¿Si la colonoscopia revela adenomas, estos se remueven inmediatamente?",Sí
63,"¿La Dirección General del CNDTCG es responsable de la conducción estratégica, técnica y operativa del centro?",Sí
64,¿Las Coordinaciones de Programa lideran la planificación técnica de los procesos asistenciales?,Sí
65,¿El Área Clínica Asistencial integra la ejecución de procedimientos de tamizaje y diagnóstico?,Sí
66,"¿El Área de Enfermería brinda atención pre, intra y postprocedimiento?",Sí
67,¿El Área de Planificación y Mejora Continua se encarga del costeo de servicios?,Sí
68,¿La Unidad de Investigación en Salud desarrolla investigación aplicada en salud gastrointestinal?,Sí
69,¿El Manual de Gestión del CNDTCG se elaboró utilizando el método DELPHI modificada para su validación?,Sí
70,¿El CNDTCG actúa como ente ejecutor directo de actividades asistenciales especializadas?,Sí
71,¿El área de Planificación y Mejora Continua implementa herramientas de Big Data y Minería de Datos?,Sí
72,¿La Resección Submucosa Endoscópica (ESD) es una técnica que evita cirugías mayores?,Sí
73,¿La ESD requiere alta especialización y equipamiento específico para su ejecución?,Sí
74,"¿La cirugía percutánea utiliza técnicas guiadas por imagen como ecografía, TAC o fluoroscopía?",Sí
75,¿La cirugía percutánea reduce el tiempo de recuperación del paciente?,Sí
76,¿El fundamento legal del CNDTCG se basa en el Acuerdo de Junta Directiva Nº 9414 del 5 de marzo de 2024?,Sí
77,¿El CNDTCG fue creado en 1995 como proyecto piloto mediante convenio CCSS-UCR-JICA?,Sí
78,¿El ultrasonido endoscópico permite la estadificación loco-regional de tumores?,Sí
79,¿El Programa de Patología Biliar incluye la colangiopancreatografía retrógrada endoscópica (CPRE)?,Sí
80,¿El cáncer colorrectal es el tercer tipo de cáncer más común en todo el mundo según la IARC?,Sí
81,¿La prueba SOHi cualitativa debe tener un punto de corte no mayor a 30 ng/ml?,Sí
82,¿La prueba SOHi cuantitativa y automatizada recomienda un punto de corte de 100 ng/ml?,Sí
83,¿El tiempo de retirada en una colonoscopia de calidad no debe ser menor a 6 minutos?,Sí
84,¿La tasa de intubación cecal en un programa de tamizaje debe ser del 95%?,Sí
85,¿La tasa de detección de adenomas (ADR) en tamizaje de dos fases debe ser de 45% en hombres y 35% en mujeres?,Sí
86,¿La colonoscopia para pacientes con SOHi positiva debe realizarse en un plazo no mayor a seis meses?,Sí
87,¿La Clasificación JNET tipo 1 corresponde a pólipo hiperplásico?,Sí
88,¿La Clasificación NICE tipo 3 describe una lesión con invasión submucosa profunda o cáncer avanzado?,Sí
89,¿La preparación intestinal debe evaluarse mediante la Escala de Preparación Intestinal de Boston?,Sí
90,¿El informe de colonoscopia debe incluir el número total de pólipos extirpados y recuperados?,Sí
91,¿El informe de anatomía patológica debe incluir el grado de displasia de cada pólipo?,Sí
92,¿Los pólipos serrados mayores de 10 mm o con displasia requieren colonoscopia de vigilancia?,Sí
93,¿La persona con colonoscopia normal posterior a SOHi positivo debe enviarse a control endoscópico a los 10 años?,No
94,"¿Las personas con antecedentes familiares de CCR en padres, madres, hijos o hermanos menores de 50 años tienen riesgo aumentado?",Sí
95,¿La anemia ferropénica (Hb < 10 g/dl en mujeres y Hb < 11 g/dl en hombres) con SOHi positiva es criterio de sospecha de CCR?,Sí
96,¿El Ministerio de Salud debe publicar los resultados de los indicadores de la norma cada 5 años?,Sí
97,¿El Plan de Abordaje Integral contempla la creación de una unidad móvil de endoscopia?,Sí
98,¿El CNDTCG tiene convenio con el CICICA para realización de endoscopias?,Sí
99,¿El Ministerio de Salud debe ejecutar la vigilancia de los indicadores de la norma colorrectal?,Sí
100,¿la colonoscopia de vigilancia posterior a la resección curativa de CCR está relacionada con la detección de cáncer colorrectal metacrónico y recurrente?,Sí
101,¿Cuáles son las dos principales causas de carga de enfermedad y mortalidad en cáncer gastrointestinal abordadas por los programas de tamizaje del CNDTCG?,Cáncer gástrico y cáncer colorrectal.
102,¿Qué siglas se utilizan para el Centro Nacional de Detección Temprana de Cáncer Gastrointestinal y la Dirección de Centros Especializados?,CNDTCG y DICE.
103,¿Qué método estructurado de consenso entre expertos institucionales se utilizó para la validación final del Manual de Gestión en el año 2025?,El método DELPHI modificada.
104,¿Cuántas plazas de Analistas en Sistemas 4 se requieren para la implementación del SILC-EDUS según el oficio GM-DDSS-0529-2025?,5 plazas.
105,¿Cuál es el objetivo general del Plan de Abordaje Integral para el Tamizaje de Cáncer de Estómago y Colorrectal?,Implementar el plan integral para reducir la incidencia y mortalidad del cáncer gástrico y colorrectal.
106,"¿Qué estructura cantonal utiliza el plan para sus proyecciones, y por qué?"," Los 81 cantones originales previos a 2019, por distorsión por nuevos cantones."
107,"Según la matriz metodológica del plan, ¿qué herramientas se utilizan para analizar la población adscrita por provincia, cantón, sexo y edad?","Análisis demográfico, herramientas GIS y MS-Excel."
108,"¿Cuál es la incidencia media por cada 100,000 personas para el cáncer de estómago en Costa Rica durante el periodo 2017-2022?",11.66 casos.
109,"De acuerdo con el Cuadro No. 2 del Plan de Abordaje Integral, ¿cuál es la incidencia total combinada de cáncer de estómago, colon y recto en el grupo de 70 a 74 años?",181.71 casos.
110,"Según el Cuadro No. 4 del Plan de Abordaje Integral, ¿cuál es la incidencia combinada del cantón de Alvarado en Cartago?",35.79 casos.
111,"De acuerdo con el Cuadro No. 9 del Plan de Abordaje Integral, ¿cuál es la mortalidad total combinada por cáncer de estómago, colon y recto en la población objetivo (50-74 años)?",56.82 casos.
112,"De acuerdo con el Cuadro No. 10 del Plan de Abordaje Integral, ¿cuál es la tasa de mortalidad combinada del cantón de San Mateo en Alajuela?",44.58 casos.
113,"De acuerdo con el Cuadro No. 15 del Plan de Abordaje Integral, ¿cuál es la media de años de vida potencialmente perdidos (YPLL) para las mujeres debido a cáncer de estómago, colon y recto?",16.49 años.
114,"De acuerdo con el análisis de población del Plan de Abordaje Integral, ¿cuál es la población proyectada para Costa Rica en el año 2034?",5.7 millones.
115,"De acuerdo con el Cuadro No. 16 del Plan de Abordaje Integral, ¿cuál es la población objetivo total proyectada para el año 2025?","1,203,483 personas."
116,"Según el Cuadro No. 19 del Plan de Abordaje Integral, ¿cuál es la población objetivo proyectada para el cantón de San José en el año 2025 para tamizaje de cáncer colorrectal?","91,605 personas."
117,¿cuántos radiólogos capacitados en la interpretación de la Serie Gastroduodenal (SGD) hay en la CCSS?,98.5 radiólogos.
118,"De acuerdo con el inventario de recursos del Plan de Abordaje Integral, ¿cuántos laboratorios clínicos tiene la CCSS a nivel nacional?",110 laboratorios.
119,¿cuántos endoscopistas capacitados en detección temprana de cáncer tiene la CCSS?,87 endoscopistas.
120,¿cuántas salas de endoscopia tiene el Hospital San Juan de Dios?,5 salas.
121,¿cuál es la población objetivo total proyectada para el tamizaje de cáncer gástrico en Costa Rica para el año 2025?,"464,339 personas."
122,"De acuerdo con el Cuadro No. 29 del Plan de Abordaje Integral, ¿cuántos equipos de fluoroscopia se requieren teóricamente para la Región Central Sur en el año 2025?",5.02 equipos
123,¿cuál es el costo unitario de las pruebas FIT cuantitativas según el contrato vigente del Hospital Dr. Maximiliano Peralta Jiménez?,"₡1,413."
124,¿cuántas personas se llamarían en el año 2025 para realizarse una prueba de sangre oculta en heces (FIT)?,"67,136 personas."
125,"¿en qué año se creó el CNDTCG bajo un convenio de cooperación entre la CCSS, JICA y la UCR?",1995
126,¿en qué año está programada la puesta en marcha de los programas de tamizaje para la detección temprana de cáncer gástrico y colorrectal?,2027
127,¿cuántos cantones presentan una incidencia superior a la media nacional para cáncer gástrico?,35 cantones.
128,¿con cuántas salas de endoscopia contaría la unidad móvil de endoscopía propuesta?,2 salas de endoscopia.
129,¿qué porcentaje de los laboratorios clínicos de la CCSS contaban con el Sistema Integrado de Laboratorios Clínicos (SILC) implementado al momento de la elaboración del documento?,16%
130,¿Cuál es el número de Unidad Programática del Centro Nacional de Detección Temprana de Cáncer Gastrointestinal?,La Unidad Programática del CNDTCG tiene el número 2806.
131,¿Cuántas salas de endoscopia tiene el CNDTCG según el inventario de recursos?,"El CNDTCG dispone de salas de endoscopía alta y baja, pero el inventario nacional de la CCSS es de 52 salas de endoscopia en total."
132,"De acuerdo con la Norma Nacional para la Atención del Cáncer Colorrectal, ¿cuál es la periodicidad recomendada para la revisión y actualización de la norma?",Cada 5 años
133,¿Cuántas personas conforman el equipo humano del CNDTCG al momento de la elaboración del manual?,El equipo humano del CNDTCG está conformado por 45 personas al momento de la elaboración del manual.
134,¿Cuál es el rango de edad de la población objetivo para los programas de tamizaje?,El rango de edad de la población objetivo para los programas de tamizaje es de 50 a 74 años.
135,¿Cuántos hospitales regionales tiene la CCSS según el Manual de Gestión?,8 hospitales regionales
136,¿Cuántos hospitales periféricos tiene la CCSS?,12 hospitales periféricos
137,¿Qué porcentaje de los gastroenterólogos están capacitados en detección temprana de lesiones premalignas?,El 88% de los gastroenterólogos (56 de 63.5) están capacitados en detección temprana de lesiones premalignas y malignas.
138,¿Cuántas salas de fluoroscopia tiene la CCSS a nivel nacional?,La CCSS cuenta con 19 salas de fluoroscopia disponibles a nivel nacional.
139,¿Cuál es la población objetivo proyectada para el año 2025 según el Plan de Abordaje?,"La población objetivo proyectada para el año 2025 es de 1,203,483 personas."
140,¿Cuál es el plazo máximo para que la Gerencia de Logística realice la licitación nacional de la Prueba Inmunológica Fecal?,1 año
141,¿Cuál es el plazo máximo para que la Gerencia Médica y Administrativa definan la estructura organizacional del CNDTCG?,1 mes
142,¿Cuál es la tasa de mortalidad combinada de cáncer de estómago en la población objetivo?,"La tasa de mortalidad combinada de cáncer de estómago en la población objetivo es de 28.92 por cada 100,000 habitantes."
143,¿Cuál es el plazo máximo para que la Dirección de TIC realice las gestiones en el EDUS?,6 meses
144,¿Cuántas regiones DRIPSS tiene la CCSS?,"La CCSS tiene 7 regiones DRIPSS: Central Norte, Central Sur, Chorotega, Huetar Atlántica, Huetar Norte, Brunca y Pacífico Central."
145,"Según el análisis FODA del CNDTCG incluido en el Manual de Gestión, ¿cuántas debilidades se identifican en el centro?",7 debilidades
146,¿Cuántas plazas de MQC2 se requieren para la implementación del SILC?,Se requieren 2 plazas de MQC2 para la implementación del SILC.
147,¿Cuál es el porcentaje de invitación para los programas de tamizaje?,El porcentaje de invitación para los programas de tamizaje es del 40%.
148,¿Cuántas gastroscopías se realizan diariamente por sala según el plan?,Se realizan 12 gastroscopías diarias por sala según las estimaciones del plan.
149,¿Cuántas colonoscopías se realizan diariamente por sala?,Se realizan 6 colonoscopías diarias por sala según las estimaciones del plan.
150,¿Cuál es el costo estimado de una torre de endoscopia?,"El costo estimado de una torre de endoscopia es de ₡102,322,211."
151,¿Cuántas plazas de MQC3 se requieren para la implementación del SILC?,Se requiere 1 plaza de MQC3 para la implementación del SILC.
152,¿Cuál es el porcentaje de tamizaje esperado para los programas?,El porcentaje de tamizaje esperado es del 65% de la población invitada.
153,¿Cuántas salas de endoscopia se proyectan necesarias para el año 2025?,Se proyectan aproximadamente 3 equipos de endoscopia para gastroscopias en el primer año.
154,¿Cuál es la periodicidad del tamizaje para ambos tipos de cáncer?,La periodicidad del tamizaje para ambos tipos de cáncer es bienal (cada dos años)
155,¿Cuál es el porcentaje de reducción de mortalidad proyectado con el programa nacional?,35%
156,¿Qué prueba de tamizaje se utiliza para el cáncer gástrico?,Serie Gastroduodenal (SGD)
157,¿Qué prueba de tamizaje se utiliza para el cáncer colorrectal?,Prueba FIT (Test Inmunológico Fecal)
158,¿Qué profesional administra el medio de contraste y realiza las imágenes fluoroscópicas en la SGD?,Imagenólogo
159,¿Qué profesional analiza las imágenes de la SGD para identificar anomalías?,Radiólogo
160,¿Qué profesional realiza la gastroscopia?,Endoscopista
161,¿Qué profesional asiste al endoscopista durante la gastroscopia?,Técnico de endoscopia
162,¿Qué profesional analiza las biopsias para determinar si hay células cancerosas?,Patólogo
163,¿Qué prueba se realiza en el laboratorio clínico para el tamizaje de cáncer colorrectal?,FIT (Prueba Inmunológica Fecal)
164,¿Qué profesional desempeña un papel crucial en la realización y análisis de la prueba FIT?,Microbiólogo
165,¿Qué área funcional del CNDTCG es responsable de la conducción estratégica del centro?,Dirección General
166,¿Qué área funcional lidera la planificación técnica de los programas de tamizaje?,Coordinaciones de Programa
167,¿Qué área funcional se encarga de la planificación operativa y monitoreo de indicadores?,Área de Planificación y Mejora Continua
168,"¿Qué área funcional gestiona los recursos físicos, materiales, financieros y de talento humano?",Área Administrativa
169,¿Qué método de validación técnica se utilizó para el Manual de Gestión del CNDTCG?,DELPHI modificada
170,¿Qué tipo de técnicas endoscópicas avanzadas permite la Resección Submucosa Endoscópica?,Resección en bloque de lesiones gastrointestinales
171,¿Qué tipo de abordaje quirúrgico utiliza la cirugía percutánea?,Mínimamente invasivo guiado por imagen
172,¿En qué año fue adscrito formalmente el CNDTCG como servicio del Hospital Dr. Maximiliano Peralta Jiménez?,2008
173,¿Qué tipo de cáncer corresponde al código C16 de la clasificación CIE-10?,Cáncer de estómago
174,¿Qué tipo de cáncer corresponde al código C18 de la clasificación CIE-10?,Cáncer colorrectal
175,¿Qué procedimiento del Programa de Patología Biliar permite visualizar y tratar patologías del sistema biliar?,CPRE (Colangiopancreatografía Retrógrada Endoscópica)
176,¿Qué sistema de información se utiliza para la programación de procedimientos en el CNDTCG?,SIAC (Sistema de Identificación Agendas y Citas)
177,¿Qué sistema de información se utiliza para el registro y análisis de datos en el CNDTCG?,SIES (Sistema de Información de Estadísticas en Salud)
178,¿Qué tipo de lesiones se pueden resecar mediante la técnica de ESD?,Lesiones precancerosas o neoplasias superficiales
179,¿Qué tipo de apoyo brinda el médico general asistente durante los procedimientos?,Apoyo clínico directo y monitorización de signos vitales
180,¿Qué tipo de prueba se recomienda utilizar en un programa de tamizaje organizado para cáncer colorrectal?,Prueba cuantitativa y automatizada (SOHi cuantitativa)
181,¿Cuál es el plazo máximo para la realización de una colonoscopia tras una prueba SOHi positiva?,6 meses
182,¿Cuál es el tiempo de retirada mínimo recomendado en una colonoscopia de calidad?,6 minutos
183,¿Qué tasa de intubación cecal se requiere en un programa de tamizaje?,95%
184,¿Cuál es la ADR recomendada en hombres para tamizaje de dos fases?,45%
185,¿Cuál es la ADR recomendada en mujeres para tamizaje de dos fases?,35%
186,¿Qué clasificación endoscópica requiere magnificación y cromoendoscopia para caracterización de pólipos?,Clasificación KUDO
187,¿Qué escala se utiliza para evaluar la calidad de la preparación intestinal?,Escala de Preparación Intestinal de Boston
188,¿A qué edad debe iniciarse el tamizaje por colonoscopia directa en personas con parientes de primer grado con CCR diagnosticado a los 50 años o menos?,40 años o 10 años antes del familiar afectado más joven
189,¿Cuál es el plazo máximo para la entrega de resultados de biopsia tras una colonoscopia con neoplasia?,30 días naturales
190,¿Qué tipo de tomografía se debe realizar para estadificación del cáncer colorrectal?,Tomografía tóracoabdominopélvica con medio de contraste
191,¿Qué estudios de imagen se requieren adicionalmente para el estadiaje del cáncer de recto?,Ultrasonido endoscópico o Resonancia Magnética Nuclear
192,¿Cuál es el ahorro económico anual proyectado en colones?,"₡3,563,250,779"
193,¿Cuántas muertes se proyectan evitar por año?,82 muertes
194,¿Cuál es el porcentaje del costo de atención de lesiones premalignas de colon respecto a cáncer avanzado?,3.30%
195,¿Qué tipo de técnica endoscópica permite resecar lesiones gastrointestinales en bloque evitando cirugías mayores?,Resección Submucosa Endoscópica (ESD)
196,¿Cuál es el porcentaje del costo de atención temprana de recto respecto a cáncer avanzado?,8.30%
197,¿Cuántas salas de endoscopia tiene la CCSS en total?,52 salas
198,¿Cuál es la periodicidad del tamizaje por cáncer colorrectal en población de riesgo promedio?,Cada dos años (bienal)
199,¿Qué sistema de información recopila y publica las estadísticas de incidencia por cáncer en Costa Rica?,SIRNAT (Sistema de Información Registro Nacional de Tumores)
200,¿Cuántos años deben custodiar los formularios de declaración de intereses según el Manual de Gestión del CNDTCG?,5 años
201,"Explique el impacto social y epidemiológico que se proyecta lograr a nivel nacional en un período de 10 años con la implementación del Programa Nacional del CNDTCG, contrastando el escenario con y sin programa.","De acuerdo con el documento de Creación de la Unidad Programática, sin la implementación del Programa Nacional (bajo la evolución natural de la enfermedad), se proyecta una mortalidad de 234 muertes anuales. Con el programa nacional propuesto, se proyecta una disminución del 35% en la mortalidad de la población objetivo, logrando evitar 82 muertes anuales de forma específica en cáncer colorrectal. Asimismo, se alcanzará una tasa de detección de más del 40% al 50% de los casos de cáncer en etapas tempranas. Este logro clínico acarrea un impacto socioeconómico estimado de un ahorro de ₡3,563,250,779 anuales."
202,"Analice las limitaciones y riesgos de seguridad informática relacionados con la privacidad de datos sensibles de los pacientes bajo el sistema EDUS, de acuerdo con la legislación costarricense (Ley del EDUS y Ley 8968) citada en los documentos.","El Plan de Abordaje señala las normativas de seguridad que protegen el EDUS. De acuerdo con el artículo 11 de la Ley del EDUS, toda la información en el expediente se cataloga como privada y contiene datos sensibles. En el artículo 19 del reglamento del EDUS, se determina que el acceso no autorizado a datos de pacientes se rige por el secreto profesional (bajo el artículo 203 del Código Penal), acarreando sanciones disciplinarias, administrativas, civiles y penales, un deber de confidencialidad que se mantiene aún después de finalizar la relación con el EDUS. Por otro lado, el artículo 58 del reglamento restringe el acceso de terceros a los datos y exige la presentación de una autorización escrita y expresa del titular, debiendo resguardarse la solicitud junto con la autorización por un plazo de 10 años, de acuerdo con la Ley de Protección de la Persona Frente al Tratamiento de sus Datos Personales (Ley 8968). El artículo 14 de esta misma ley general exige que toda transferencia de datos en bases de datos sea expresa y válidamente autorizada por el titular."
203,"Describa los principales componentes de la ruta de atención clínica y coordinación funcional en red de servicios de salud que se requiere entre el primer, segundo y tercer nivel de atención para el Programa de Tamizaje de Cáncer Colorrectal.","El programa requiere una coordinación interdependiente en red. El primer nivel (EBAIS, Áreas de Salud) se encarga de la captación estructurada de personas asintomáticas entre 50 y 74 años mediante la adscripción, la coordinación de cupos y programación de usuarios para la entrega de muestras biológicas de FIT, y el suministro de materiales promocionales y campañas de concientización. El segundo nivel (hospitales periféricos y regionales) se encarga de la red de laboratorios clínicos que procesan las muestras FIT, priorizar y programar colonoscopias para aquellos casos con resultados alterados, realizar procedimientos terapéuticos (polipectomías) y dar seguimiento activo a los resultados histopatológicos (biopsias) de anatomía patológica, estadiaje de imágenes, cirugías oncológicas generales y administración de quimioterapia complementaria. Finalmente, el tercer nivel (hospitales nacionales) resuelve casos oncológicos avanzados o complejos mediante técnicas altamente especializadas de mínima invasión (como la Resección Submucosa Endoscópica - ESD) para pacientes de toda la red, realiza estadiajes completos y tratamientos oncológicos específicos, audita los procesos de referencia y contrarreferencia para evitar que los pacientes queden desatendidos, y brinda acompañamiento técnico y capacitación especializada en endoscopía al personal asistencial de la red nacional."
